query,rank,doc_id,title,categories,cosine,relevant
Symmetry and Numerical Solutions for Systems of Non-linear Reaction,1,0704.2012,Symmetry and Numerical Solutions for Systems of Non-linear Reaction Diffusion Equations,math-ph math.MP math.NA,0.3122,1
Symmetry and Numerical Solutions for Systems of Non-linear Reaction,2,0704.3404,Smoothed Wigner transforms in the numerical simulation of semiclassical (high-frequency) wave propagation,math.AP math.NA,0.2387,0
Symmetry and Numerical Solutions for Systems of Non-linear Reaction,3,0704.2363,Energy solutions for polymer aqueous solutions in two dimension,math.AP,0.2273,0
Symmetry and Numerical Solutions for Systems of Non-linear Reaction,4,0704.2424,Orbit-based deformation procedure for two-field models,hep-th,0.2245,1
Symmetry and Numerical Solutions for Systems of Non-linear Reaction,5,0704.3784,Scalar-tensor black holes coupled to Born-Infeld nonlinear electrodynamics,gr-qc,0.2169,0
